Station,Long_DD,Lat_DD,Location,Survey,note,Region,Program,Bot_depth,Bot_depth_,NONNA_10m_,NOAA_3arcs
PR7,-124.9883334,49.90499993,Powell River,,"Pacific Salmon Foundation's Citizen Science Program oCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,18,0.0,-21.0
PR8,-124.92,49.92166667,Powell River,,"Pacific Salmon Foundation's Citizen Science Program oCO2, TCO2, salinity, PSF CTD",,Ocean Acidification,,231,-233.8,-240.8
PRUTH,-128.0913,51.6554,Kwakshua Channel,"Kwakshua, Primary Productivity",,Central Coast,Oceanography,75,51,-72.0,-50.0
PRUTHMOORING,-128.0912902,51.65640307,Pruth Bay,,Thermistor mooring,,Oceanography Sensors,69.7,51,-67.3,-49.1
QCS01,-128.2384,51.705,Hakai Pass/ Queen Charlotte Sound,"Queen Charlotte Sound, Ver. 1, West Coast Survey",,Central Coast,Oceanography,125,138,-142.4,-137.0
QCS02,-128.2931,51.6948,Hakai Pass/ Queen Charlotte Sound,"Queen Charlotte Sound, Ver. 1, West Coast Survey",,Central Coast,Oceanography,143,129,-134.1,-129.0
QCS03,-128.2634,51.6342,West side of Calvert,West Coast Survey,,Central Coast,Oceanography,130,134,-135.3,-133.8
QCS04,-128.2397,51.5677,West side of Calvert,West Coast Survey,,Central Coast,Oceanography,128,123,-122.0,-124.0
QCS05,-128.2058,51.4735,West side of Calvert,West Coast Survey,,Central Coast,Oceanography,110,109,-109.8,-110.0
QCS06,-128.0568,51.4186,West side of Calvert,West Coast Survey,,Central Coast,Oceanography,123,124,-128.3,-120.0
QCS07,-127.907733,51.381317,West side of Calvert,West Coast Survey,,Central Coast,Oceanography,134,132,-127.3,-132.3
QS1,-125.111,50.0498,South Sutil Ch.,QUADS14,,Discovery Islands,Oceanography,275,253,-272.0,-277.1
QSD01,-128.360883,51.85355,Queens Sound,Outer Shores,,Central Coast,Oceanography,160,160,-156.0,-161.0
QSD02,-128.3504,51.9581,Queens Sound,Outer Shores,,Central Coast,Oceanography,180,183,-178.4,-180.9
QSD03,-128.417267,52.019433,Golby Passage,Outer Shores,,Central Coast,Oceanography,35,40,-31.8,-40.0
QSD04,-128.47215,52.0338,Golby Passage,Outer Shores,,Central Coast,Oceanography,38,41,-34.3,-40.0
QSD05,-128.5126,52.0625,Golby Passage,Outer Shores,,Central Coast,Oceanography,60,75,-60.1,-77.0
QU1,-125.141,50.079,Sutil Channel,,Was QS2 from 2012,Discovery Islands,Oceanography,,244,-215.2,-220.9
QU10,-125.121,50.232,Surge Narrows,D,Was formerly QS 10 (2012),Discovery Islands,Oceanography,75,52,-72.4,-50.0
QU11,-125.0948,50.2578,Whiterock Passage,E,,Discovery Islands,Oceanography,40,36,-36.4,
QU12,-125.0814,50.2773,Whiterock Passage,E,,Discovery Islands,Oceanography,100,105,-101.6,-100.0
QU16,-125.16,50.12,South Sutil Ch.,"A, C",,Discovery Islands,Oceanography,160,155,-159.7,-163.2
QU17,-125.13,50.12,South Sutil Ch.,"A, B, C",,Discovery Islands,Oceanography,170,239,-179.6,-180.1
QU18,-125.16,50.08,South Sutil Ch.,C,,Discovery Islands,Oceanography,95,90,-85.8,-90.7
QU19,-125.13,50.08,South Sutil Ch.,C,,Discovery Islands,Oceanography,250,249,-245.5,-250.8
QU2,-125.1631,50.0929,South Sutil Ch.,C,Was formerly QS 3 (2012),Discovery Islands,Oceanography,120,101,-100.3,-103.1
QU20,-125.1,50.08,South Sutil Ch.,"A, C",,Discovery Islands,Oceanography,235,248,-235.6,-238.1
QU21,-125.08,50.08,South Sutil Ch.,C,,Discovery Islands,Oceanography,90,58,-66.0,-71.0
QU22,-125.15,50.03,South Sutil Ch.,C,,Discovery Islands,Oceanography,135,115,-136.1,-140.3
QU23,-125.12,50.03,South Sutil Ch.,C,,Discovery Islands,Oceanography,250,270,-251.2,-254.3
QU24,-125.08,50.03,South Sutil Ch.,C,Station was Core Station November 2014 - July 2015,Discovery Islands,Oceanography,240,231,-233.5,-235.5
QU25,-125.05,50.03,South Sutil Ch.,C,,Discovery Islands,Oceanography,20,38,-16.3,-50.0
QU26,-125.01,50.03,South Sutil Ch.,C,,Discovery Islands,Oceanography,75,51,-74.9,-55.5
QU27,-125.23,50.125,Hyacinthe Bay,C,,Discovery Islands,Oceanography,12,36,-12.0,0.0
QU28,-125.1374,50.2169,Hoskyn Channel,D,,Discovery Islands,Oceanography,90,88,-87.1,-83.1
QU29,-125.1885,50.2536,Lower Okisollo,"D, F",CO2 sampling ended Dec 2016,Discovery Islands,Oceanography,140,118,0.0,-100.2
QU3,-125.185,50.1154,Hyacinthe Bay,"A, C",Was formerly QS 4 (2012),Discovery Islands,Oceanography,125,126,-125.1,-127.9
QU30,-125.1720073,50.24099699,,,,Discovery Islands,Oceanography,,105,0.0,-102.2
QU31,-125.209,50.269,Octopus Islands,D,,Discovery Islands,Oceanography,90,69,0.0,-66.0
QU32,-125.2492,50.3119,Upper Okisollo,D,,Discovery Islands,Oceanography,108,106,0.0,-99.4
QU33,-125.089,50.3151,Calm Channel,E,,Discovery Islands,Oceanography,340,343,-342.6,-300.0
QU34,-125.1,50.12,South Sutil Ch.,"A, C, E",,Discovery Islands,Oceanography,125,161,-126.6,-127.8
QU35,-125.02,50.241,North Sutil Ch.,E,,Discovery Islands,Oceanography,490,491,-483.7,-399.5
QU36,-124.996,50.19,North Sutil Ch.,E,,Discovery Islands,Oceanography,500,552,-544.3,-548.0
QU37,-125.052,50.151,North Sutil Ch.,E,,Discovery Islands,Oceanography,50,336,-422.6,-347.0
QU38,-125.2226,50.1172,Hyacinthe Bay,Raft,,Discovery Islands,Oceanography,10,41,-5.7,-2.0
QU39,-125.0992,50.0307,South Sutil Ch.,"A, B, C","Added as Core Station March 2015, DO started Sept 2016",Discovery Islands,Oceanography,265,262,-270.2,-274.3
QU4,-125.199,50.127,Open Bay,,Need to check when stopped sampling this sampling,Discovery Islands,Oceanography,,49,-50.4,-56.8
QU40,-125.164,50.092,South Sutil Ch.,A (PP),Location for Primary Production incubations,Discovery Islands,Oceanography,50,95,-92.1,-96.5
QU41,-125.092,50.3656,Bute Inlet,not assigned,Sampled during Exploratory survey 5/11/2015,Discovery Islands,Oceanography,> 400,584,-595.8,-601.5
QU42,-125.2111,50.2577,Hoskyn Channel,QOM D,Location of PP incubations for QOM D,Discovery Islands,Oceanography,,49,0.0,-44.0
QU43,-125.1176375,50.33921037,Calm Channel,QOM E,Deep water station for CO2 and DO sampling,Discovery Islands,Oceanography,520,505,-530.7,-501.6
QU44,-125.1231615,50.0740327,,QOM F,aka SutChan2,Discovery Islands,Oceanography,240,253,-256.7,-260.5
QU45,-125.2198833,50.1172664,Hyacinthe Bay,QRAFT,This is the Limpet Node,Discovery Islands,Oceanography Sensors,20,43,-18.6,-13.0
QU46,-125.1749667,50.09745,Northern Strait Of Georgia,QOM A.2,"Formerly known as ""PP drop"" and ""QUPP""",Discovery Islands/Quadra,Oceanography,55,52,-65.5,-71.9
QU5,-125.2122,50.1183,Hyacinthe Bay,"A, B, C",Was formerly QS 5 (2012),Discovery Islands,Oceanography,70,50,-66.9,-51.0
QU6,-125.2258,50.1232,Hyacinthe Bay,"A, C",Was formerly QS 6 (2012),Discovery Islands,Oceanography,25,40,-23.4,0.0
QU7,-125.231,50.126,Hyacinthe Bay,,Was QS7 - need to check when stopped sampling,Discovery Islands,Oceanography,,35,0.0,0.0
QU8,-125.1748,50.1463,Hoskyn Channel,D,Was formerly QS 8 (2012),Discovery Islands,Oceanography,145,142,-134.9,-102.0
QU9,-125.1371,50.1804,Hoskyn Channel,"D, F",Was formerly QS 9 (2012),Discovery Islands,Oceanography,115,102,-109.1,-99.5
RC1,-126.1153667,49.23641667,N of Bartlett Island's W Islets,CEDAR COAST,,Clayoquot,Oceanography,0,20,-25.2,-19.7
RC2,-126.07245,49.23653333,NW of Bartlett Island,CEDAR COAST,,Clayoquot,Oceanography,0,12,-13.7,-12.3
RC3,-126.0323333,49.23941667,SE of Bartlett Island,CEDAR COAST,,Clayoquot,Oceanography,0,10,-11.6,-9.8
Ri7,-127.3933,51.7783,,,IOS Historical Site,Central Coast,Oceanography,240,230,0.0,-200.3
RVRS01,-127.8044,51.4414,Fitz Hugh Sound,"Rivers Inlet, Ver. 2, West Coast Survey",,Central Coast,Oceanography,115,116,-119.9,-118.5
RVRS02,-127.717989,51.43026133,,Rivers Inlet V1,,Central Coast,Oceanography,,170,-152.4,-153.0
SEA11,-128.2476,51.8091,,MarineGEO,,Central Coast,MarineGEO,,28,0.0,0.0
SEA15,-128.1192523,51.64532132,Pruth Bay,Nearshore,,Central Coast,Oceanography,,6,0.0,
SEA2,-128.118,51.6746,,Queen Charlotte Sound V2,,Central Coast,MarineGEO,,7,-4.2,-0.4
SEA5,-128.4247,52.0018,,MarineGEO,,Central Coast,MarineGEO,,11,0.0,0.0
SEA6,-128.4501,51.9275,,MarineGEO,,Central Coast,MarineGEO,,1,0.0,-0.1
SEA7,-128.4645,51.9222,,MarineGEO,,Central Coast,MarineGEO,,1,0.0,-2.1
SEA8,-128.4119,52.0626,,MarineGEO,,Central Coast,MarineGEO,,17,-4.7,-3.0
SEA9,-128.4029,52.0506,,MarineGEO,,Central Coast,MarineGEO,,11,0.0,-6.4
Sentry Shoal,-124.985,49.90666667,Northern Strait of Georgia,,"Environment Canada weather station, location of Hakai SeaFET pH sensor",Discovery Islands,Oceanography Sensors,15,6,0.0,-17.4
SHORE09,-127.71152,51.9652611,Burke Doc Marker,SSWD,,Central Coast,Nearshore,10,108,0.0,-82.6
SHORE10,-127.88845,51.9258389,Burke Sagen,SSWD,,Central Coast,Nearshore,10,34,0.0,-36.0
SHORE20,-127.77545,51.9617544,Burke Eagle Rock,SSWD,,Central Coast,Nearshore,10,37,0.0,-15.4
SHORE21,-127.74103,51.9517062,Burke Hvidsen,SSWD,,Central Coast,Nearshore,10,23,0.0,
SHORE22,-127.43015,51.7700497,Rivers Nelson Narrows,SSWD,,Central Coast,Nearshore,10,48,0.0,-23.0
SHORE23,-127.5598,51.5396992,Rivers Haystacks,SSWD,,Central Coast,Nearshore,10,37,0.0,-8.0
SP,-128.1225,51.676,Choked Pass,,,Central Coast,Oceanography,,6,-1.7,-2.8
TO1,-124.7717,50.3033,,Achiever 2019,,,Oceanography,,456,-497.2,-400.0
TO2,-124.735,50.3383,,Achiever 2019,,,Oceanography,,502,-502.0,-506.2
TO2A,-124.70885,50.35895,Toba Inlet,,,Quadra,Oceanography,,559,-498.1,-501.9
TO3,-124.6317,50.4083,,Achiever 2019,,,Oceanography,,469,-471.2,-475.7
TO3A,-124.653,50.41611,Toba Inlet,,,Quadra,Oceanography,,468,-462.0,-466.0
TO4,-124.5267,50.42,,Achiever 2019,,,Oceanography,,388,-390.4,-394.1
TO4A,-124.51479,50.42644,Toba Inlet,,,Quadra,Oceanography,,369,-369.6,-373.6
TO5,-124.4,50.4633,,Achiever 2019,,,Oceanography,,195,-200.7,-203.8
UBC7,-127.8182,51.5003,Fitz Hugh Sound,"Rivers Inlet, Fitz Hugh Sound, West Coast Survey",,Central Coast,Oceanography,163,140,-154.9,-139.0
UBC8,-127.2668,51.6737,Rivers Inlet,"Rivers Inlet, Ver. 2",,Central Coast,Oceanography,20,56,0.0,-58.0
UWT31,-126.032017,49.236217,Herbert Russell Channel Confluence,UWT_HERBERT,,Clayoquot,Oceanography,12,10,-12.7,-10.0
UWT32,-126.0381,49.260317,Herbert Sill,UWT_HERBERT,,Clayoquot,Oceanography,8,6,-5.5,-6.0
UWT33,-126.035367,49.295817,Herbert Mouth South,UWT_HERBERT,,Clayoquot,Oceanography,51,38,-51.0,-38.9
UWT34,-126.012017,49.312917,Herbert Mouth,UWT_HERBERT,,Clayoquot,Oceanography,114,65,-115.2,-75.1
UWT35,-125.977683,49.328183,Herbert,UWT_HERBERT,,Clayoquot,Oceanography,135,125,-133.3,-124.7
UWT36,-125.945017,49.360883,Herbert,UWT_HERBERT,,Clayoquot,Oceanography,142,86,-142.5,-86.1
UWT37,-125.93865,49.392583,Herbert,UWT_HERBERT,,Clayoquot,Oceanography,131,65,-130.1,-78.7
UWT38,-125.90695,49.4089,Herbert Head,UWT_HERBERT,,Clayoquot,Oceanography,110,46,-109.4,-46.5
UWT39,-126.068383,49.337,Millar Channel South,UWT_HERBERT,,Clayoquot,Oceanography,105,39,-101.8,-28.2
UWT40,-125.788317,49.352517,Bedwell Head,UWT_BEDWELL,,Clayoquot,Oceanography,75,7,-75.5,-6.6
UWT41,-125.8046,49.3359,Bedwell,UWT_BEDWELL,,Clayoquot,Oceanography,70,2,-70.8,-1.8
UWT42,-125.821283,49.270267,Bedwell Mouth,UWT_BEDWELL,,Clayoquot,Oceanography,60,55,-60.4,-54.6
UWT43,-125.757533,49.237517,Warn Bay,UWT_BEDWELL,,Clayoquot,Oceanography,145,143,-143.1,-143.1
UWT44,-125.762633,49.185617,Fortune Channel,UWT_BEDWELL,,Clayoquot,Oceanography,70,80,-77.9,-79.8
UWT45,-125.7641,49.125683,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,47,42,-45.1,-42.1
UWT46,-125.716567,49.134517,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,60,56,-58.0,-55.8
UWT47,-125.690317,49.1654,Tranquil Mouth,UWT_TOFINO,,Clayoquot,Oceanography,75,66,-69.1,-66.2
UWT48,-125.674767,49.196433,Tranquil Head,UWT_TOFINO,,Clayoquot,Oceanography,50,20,-49.4,-20.3
UWT49,-125.6647,49.161283,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,83,,-81.0,
UWT50,-125.64935,49.195817,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,122,15,-121.7,-20.7
UWT51,-125.5982,49.22785,Tofino Head,UWT_TOFINO,,Clayoquot,Oceanography,50,,-47.9,
UWT52,-125.598817,49.22525,Tofino Head,UWT_TOFINO,,Clayoquot,Oceanography,50,,-49.0,
UWT53,-125.61045,49.208633,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,94,,-93.9,
UWT54,-125.647567,49.18175,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,108,68,-106.7,-68.3
UWT55,-125.6932,49.150917,Tofino,UWT_TOFINO,,Clayoquot,Oceanography,70,64,-67.1,-63.6
UWT56,-125.797233,49.119433,Tofino Browning Passage,UWT_TOFINO,,Clayoquot,Oceanography,46,0,-43.9,-0.4
UWT57,-125.8458,49.129467,Tofino Browning Passage,UWT_TOFINO,,Clayoquot,Oceanography,18,6,-17.0,-6.9
UWT58,-125.875933,49.141583,Tofino Browning Passage,UWT_TOFINO,,Clayoquot,Oceanography,15,13,-12.9,-12.9
UWT59,-125.91525,49.151517,Tofino Mouth Templar Channel,UWT_TOFINO,,Clayoquot,Oceanography,27,4,-25.1,-4.2
UWT63,-126.24365,49.39965,Sydney & Shelter Confluence,UST_SYDNEY,,,Oceanography,68,82,-66.1,-82.5
UWT64,-126.243967,49.426717,Sydney,UST_SYDNEY,,,Oceanography,69,27,-68.1,-26.6
UWT65,-126.259567,49.437733,Sydney,UST_SYDNEY,,,Oceanography,68,,-76.1,
UWT66,-126.270433,49.452383,Sydney & Stewardson Confluence,UST_SYDNEY,,,Oceanography,123,27,-122.6,-26.9
UWT69,-126.2752,49.469967,Sydney,UST_SYDNEY,,,Oceanography,132,8,-132.5,-8.0
UWT70,-126.284767,49.487633,Sydney,UST_SYDNEY,,,Oceanography,111,2,-110.4,-1.7
UWT71,-126.29265,49.502467,Sydney Head,UST_SYDNEY,,,Oceanography,82,0,-81.3,0.0
UWT72,-126.2156,49.398533,Shelter Mouth,UST_SYDNEY,,,Oceanography,73,0,-71.1,-0.4
UWT73,-126.185617,49.38935,Shelter,UST_SYDNEY,,,Oceanography,81,74,-79.7,-72.3
UWT74,-126.162283,49.39395,Shelter,UST_SYDNEY,,,Oceanography,92,53,-88.0,-59.0
UWT75,-126.136483,49.400533,Shelter Millar Confluence,UST_SYDNEY,,,Oceanography,131,112,-128.3,-111.8
UWT81,-126.085617,49.380133,Millar Channel North,UWT_HERBERT,,Clayoquot,Oceanography,157,29,-155.0,-29.1
UWT82,-125.810917,49.297833,Bedwell,UWT_BEDWELL,,Clayoquot,Oceanography,60,48,-58.2,-48.9
UWT85,-125.875533,49.249517,Cypress Bay,UWT_BEDWELL,,Clayoquot,Oceanography,50,50,-50.9,-49.7
UWT86,-125.94095,49.235567,Hecate Bay,UWT_BEDWELL,,Clayoquot,Oceanography,25,22,-26.2,-21.7
VIKINGBUOY,-128.2387131,51.56554522,,,Proposed future location of DFO Viking Buoy,,Oceanography Sensors,,121,-120.4,-122.0
WBCH01,-128.1493,51.6535,West Beach,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,8,10,-8.7,-10.0
WBCH02,-128.1657,51.6524,West Beach,"Queen Charlotte Sound, Ver. 2",,Central Coast,Oceanography,29,29,-27.8,-31.0
WEST BEA,-128.151,51.6482,,,,Central Coast,Oceanography,,9,0.0,-8.0
WHVik,-128.235917,51.711953,,,Proposed West Hakai buoy,Central Coast,Oceanography Sensors,,140,-141.5,-140.0
YSI,-128.1201,51.6749,,,,Central Coast,Oceanography,,6,-5.2,-2.3
